Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,NO,Heelys,1,
Clothing  Shoes & Jewelry,Men,NO,Helly Hansen,444,
Clothing  Shoes & Jewelry,Men,NO,Herschel Supply Co.,11,
Clothing  Shoes & Jewelry,Men,NO,HEX,1,
Clothing  Shoes & Jewelry,Men,NO,Hickey Freeman,1,
Clothing  Shoes & Jewelry,Men,NO,Hudson Jeans,122,
Clothing  Shoes & Jewelry,Men,NO,HUE,9,
Clothing  Shoes & Jewelry,Men,NO,HUGO BOSS,533,
Clothing  Shoes & Jewelry,Men,NO,Hurley,18,
Clothing  Shoes & Jewelry,Men,NO,Hush Puppies,2,
Clothing  Shoes & Jewelry,Men,NO,Hybrid,3,
Clothing  Shoes & Jewelry,Men,NO,HÚGÓ BÓSS,533,
Clothing  Shoes & Jewelry,Men,NO,Ike Behar,18,
Clothing  Shoes & Jewelry,Men,NO,Invicta,101,
Clothing  Shoes & Jewelry,Men,NO,Isaac Mizrahi,19,
Clothing  Shoes & Jewelry,Men,NO,Issey Miyake,1,
Clothing  Shoes & Jewelry,Men,NO,IZOD,383,
Clothing  Shoes & Jewelry,Men,NO,J.Lindeberg,62,
Clothing  Shoes & Jewelry,Men,NO,Jack O'Neill,8,
Clothing  Shoes & Jewelry,Men,NO,Jack Spade,92,
Clothing  Shoes & Jewelry,Men,NO,James Campbell,25,
Clothing  Shoes & Jewelry,Men,NO,Jessica Simpson,1,
Clothing  Shoes & Jewelry,Men,NO,Jockey,31,
Clothing  Shoes & Jewelry,Men,NO,Joe's Jeans,117,
Clothing  Shoes & Jewelry,Men,NO,John Varvatos Star USA,10,
Clothing  Shoes & Jewelry,Men,NO,Jonathan Simkhai,11,
Clothing  Shoes & Jewelry,Men,NO,Jones New York,47,
Clothing  Shoes & Jewelry,Men,NO,Junk Food,16,
Clothing  Shoes & Jewelry,Men,NO,Just Cavalli,15,
Clothing  Shoes & Jewelry,Men,NO,Justin Boots,7,
Clothing  Shoes & Jewelry,Men,NO,K-Swiss,5,
Clothing  Shoes & Jewelry,Men,NO,Kahala,101,
Clothing  Shoes & Jewelry,Men,NO,Kamik,9,
Clothing  Shoes & Jewelry,Men,NO,Kanu Surf,116,
Clothing  Shoes & Jewelry,Men,NO,Karen Kane,1,
Clothing  Shoes & Jewelry,Men,NO,Karen Neuburger,2,
Clothing  Shoes & Jewelry,Men,NO,Keen,9,
Clothing  Shoes & Jewelry,Men,NO,Kenneth Cole,5,
Clothing  Shoes & Jewelry,Men,NO,Kenneth Cole New York,451,
Clothing  Shoes & Jewelry,Men,NO,Kenneth Cole REACTION,473,
Clothing  Shoes & Jewelry,Men,NO,Kipling,1,
Clothing  Shoes & Jewelry,Men,NO,KR3W,18,
Clothing  Shoes & Jewelry,Men,NO,Lacoste,465,
Clothing  Shoes & Jewelry,Men,NO,Laguna,22,
Clothing  Shoes & Jewelry,Men,NO,Le Chateau,1,
Clothing  Shoes & Jewelry,Men,NO,LEE,182,
Clothing  Shoes & Jewelry,Men,NO,Lee,182,
Clothing  Shoes & Jewelry,Men,NO,LEGO,5,
Clothing  Shoes & Jewelry,Men,NO,Levi's,437,
Clothing  Shoes & Jewelry,Men,NO,Liberty,3,
Clothing  Shoes & Jewelry,Men,NO,Linea Naturale,7,
Clothing  Shoes & Jewelry,Men,NO,London Fog,87,
Clothing  Shoes & Jewelry,Men,NO,Louis Raphael,143,
Clothing  Shoes & Jewelry,Men,NO,LRG,221,
Clothing  Shoes & Jewelry,Men,NO,Lucky Brand,588,
Clothing  Shoes & Jewelry,Men,NO,Luminox,1,
Clothing  Shoes & Jewelry,Men,NO,Maaji,38,
Clothing  Shoes & Jewelry,Men,NO,Mackage,7,
Clothing  Shoes & Jewelry,Men,NO,Maidenform,1,
Clothing  Shoes & Jewelry,Men,NO,Majestic International,88,
Clothing  Shoes & Jewelry,Men,NO,Marc Ecko,1,
Clothing  Shoes & Jewelry,Men,NO,Margaritaville,169,
Clothing  Shoes & Jewelry,Men,NO,Mavi,78,
Clothing  Shoes & Jewelry,Men,NO,Merrell,104,
Clothing  Shoes & Jewelry,Men,NO,Metal Mulisha,131,
Clothing  Shoes & Jewelry,Men,NO,Michael Kors,1,
